gene_ctype,gene_name,cell_type,c_type_num,gene_num
TAF11L12_CD16- NK cells,TAF11L12,CD16- NK cells,17,35
TAF11L12_Classical monocytes,TAF11L12,Classical monocytes,5,35
TAF11L12_DC2,TAF11L12,DC2,7,35
TAF11L12_MAIT cells,TAF11L12,MAIT cells,15,35
TAF11L12_Memory B cells,TAF11L12,Memory B cells,1,35
TAF11L12_NK cells,TAF11L12,NK cells,16,35
TAF11L12_Naive B cells,TAF11L12,Naive B cells,0,35
TAF11L12_Non-classical monocytes,TAF11L12,Non-classical monocytes,6,35
TAF11L12_Plasma cells,TAF11L12,Plasma cells,4,35
TAF11L12_Plasmablasts,TAF11L12,Plasmablasts,3,35
TAF11L12_Regulatory T cells,TAF11L12,Regulatory T cells,11,35
TAF11L12_Tcm/Naive cytotoxic T cells,TAF11L12,Tcm/Naive cytotoxic T cells,13,35
TAF11L12_Tcm/Naive helper T cells,TAF11L12,Tcm/Naive helper T cells,9,35
TAF11L12_Tem/Effector helper T cells,TAF11L12,Tem/Effector helper T cells,10,35
TAF11L12_Tem/Temra cytotoxic T cells,TAF11L12,Tem/Temra cytotoxic T cells,12,35
TAF11L12_Tem/Trm cytotoxic T cells,TAF11L12,Tem/Trm cytotoxic T cells,14,35
TAF11L12_pDC,TAF11L12,pDC,8,35
TBC1D13_Age-associated B cells,TBC1D13,Age-associated B cells,2,200
TBC1D13_CD16+ NK cells,TBC1D13,CD16+ NK cells,18,200
TBC1D13_CD16- NK cells,TBC1D13,CD16- NK cells,17,200
TBC1D13_Classical monocytes,TBC1D13,Classical monocytes,5,200
TBC1D13_DC2,TBC1D13,DC2,7,200
TBC1D13_MAIT cells,TBC1D13,MAIT cells,15,200
TBC1D13_Memory B cells,TBC1D13,Memory B cells,1,200
TBC1D13_NK cells,TBC1D13,NK cells,16,200
TBC1D13_Naive B cells,TBC1D13,Naive B cells,0,200
TBC1D13_Non-classical monocytes,TBC1D13,Non-classical monocytes,6,200
TBC1D13_Plasma cells,TBC1D13,Plasma cells,4,200
TBC1D13_Plasmablasts,TBC1D13,Plasmablasts,3,200
TBC1D13_Regulatory T cells,TBC1D13,Regulatory T cells,11,200
TBC1D13_Tcm/Naive cytotoxic T cells,TBC1D13,Tcm/Naive cytotoxic T cells,13,200
TBC1D13_Tcm/Naive helper T cells,TBC1D13,Tcm/Naive helper T cells,9,200
TBC1D13_Tem/Effector helper T cells,TBC1D13,Tem/Effector helper T cells,10,200
TBC1D13_Tem/Temra cytotoxic T cells,TBC1D13,Tem/Temra cytotoxic T cells,12,200
TBC1D13_Tem/Trm cytotoxic T cells,TBC1D13,Tem/Trm cytotoxic T cells,14,200
TBC1D13_pDC,TBC1D13,pDC,8,200
TBC1D21_Age-associated B cells,TBC1D21,Age-associated B cells,2,288
TBC1D21_CD16+ NK cells,TBC1D21,CD16+ NK cells,18,288
TBC1D21_CD16- NK cells,TBC1D21,CD16- NK cells,17,288
TBC1D21_Classical monocytes,TBC1D21,Classical monocytes,5,288
TBC1D21_DC2,TBC1D21,DC2,7,288
TBC1D21_MAIT cells,TBC1D21,MAIT cells,15,288
TBC1D21_Memory B cells,TBC1D21,Memory B cells,1,288
TBC1D21_NK cells,TBC1D21,NK cells,16,288
TBC1D21_Naive B cells,TBC1D21,Naive B cells,0,288
TBC1D21_Non-classical monocytes,TBC1D21,Non-classical monocytes,6,288
TBC1D21_Plasma cells,TBC1D21,Plasma cells,4,288
TBC1D21_Plasmablasts,TBC1D21,Plasmablasts,3,288
TBC1D21_Regulatory T cells,TBC1D21,Regulatory T cells,11,288
TBC1D21_Tcm/Naive cytotoxic T cells,TBC1D21,Tcm/Naive cytotoxic T cells,13,288
TBC1D21_Tcm/Naive helper T cells,TBC1D21,Tcm/Naive helper T cells,9,288
TBC1D21_Tem/Effector helper T cells,TBC1D21,Tem/Effector helper T cells,10,288
TBC1D21_Tem/Temra cytotoxic T cells,TBC1D21,Tem/Temra cytotoxic T cells,12,288
TBC1D21_Tem/Trm cytotoxic T cells,TBC1D21,Tem/Trm cytotoxic T cells,14,288
TBC1D21_pDC,TBC1D21,pDC,8,288
TBC1D3D_Age-associated B cells,TBC1D3D,Age-associated B cells,2,287
TBC1D3D_CD16+ NK cells,TBC1D3D,CD16+ NK cells,18,287
TBC1D3D_CD16- NK cells,TBC1D3D,CD16- NK cells,17,287
TBC1D3D_Classical monocytes,TBC1D3D,Classical monocytes,5,287
TBC1D3D_DC2,TBC1D3D,DC2,7,287
TBC1D3D_MAIT cells,TBC1D3D,MAIT cells,15,287
TBC1D3D_Memory B cells,TBC1D3D,Memory B cells,1,287
TBC1D3D_NK cells,TBC1D3D,NK cells,16,287
TBC1D3D_Naive B cells,TBC1D3D,Naive B cells,0,287
TBC1D3D_Non-classical monocytes,TBC1D3D,Non-classical monocytes,6,287
TBC1D3D_Plasma cells,TBC1D3D,Plasma cells,4,287
TBC1D3D_Plasmablasts,TBC1D3D,Plasmablasts,3,287
TBC1D3D_Regulatory T cells,TBC1D3D,Regulatory T cells,11,287
TBC1D3D_Tcm/Naive cytotoxic T cells,TBC1D3D,Tcm/Naive cytotoxic T cells,13,287
TBC1D3D_Tcm/Naive helper T cells,TBC1D3D,Tcm/Naive helper T cells,9,287
TBC1D3D_Tem/Effector helper T cells,TBC1D3D,Tem/Effector helper T cells,10,287
TBC1D3D_Tem/Temra cytotoxic T cells,TBC1D3D,Tem/Temra cytotoxic T cells,12,287
TBC1D3D_Tem/Trm cytotoxic T cells,TBC1D3D,Tem/Trm cytotoxic T cells,14,287
TBC1D3D_pDC,TBC1D3D,pDC,8,287
TDRD5_Age-associated B cells,TDRD5,Age-associated B cells,2,226
TDRD5_CD16+ NK cells,TDRD5,CD16+ NK cells,18,226
TDRD5_CD16- NK cells,TDRD5,CD16- NK cells,17,226
TDRD5_Classical monocytes,TDRD5,Classical monocytes,5,226
TDRD5_DC2,TDRD5,DC2,7,226
TDRD5_MAIT cells,TDRD5,MAIT cells,15,226
TDRD5_Memory B cells,TDRD5,Memory B cells,1,226
TDRD5_NK cells,TDRD5,NK cells,16,226
TDRD5_Naive B cells,TDRD5,Naive B cells,0,226
TDRD5_Non-classical monocytes,TDRD5,Non-classical monocytes,6,226
TDRD5_Plasma cells,TDRD5,Plasma cells,4,226
TDRD5_Plasmablasts,TDRD5,Plasmablasts,3,226
TDRD5_Regulatory T cells,TDRD5,Regulatory T cells,11,226
TDRD5_Tcm/Naive cytotoxic T cells,TDRD5,Tcm/Naive cytotoxic T cells,13,226
TDRD5_Tcm/Naive helper T cells,TDRD5,Tcm/Naive helper T cells,9,226
TDRD5_Tem/Effector helper T cells,TDRD5,Tem/Effector helper T cells,10,226
TDRD5_Tem/Temra cytotoxic T cells,TDRD5,Tem/Temra cytotoxic T cells,12,226
TDRD5_Tem/Trm cytotoxic T cells,TDRD5,Tem/Trm cytotoxic T cells,14,226
TDRD5_pDC,TDRD5,pDC,8,226
TENT5A_Age-associated B cells,TENT5A,Age-associated B cells,2,210
TENT5A_CD16+ NK cells,TENT5A,CD16+ NK cells,18,210
TENT5A_CD16- NK cells,TENT5A,CD16- NK cells,17,210
TENT5A_Classical monocytes,TENT5A,Classical monocytes,5,210
TENT5A_DC2,TENT5A,DC2,7,210
TENT5A_MAIT cells,TENT5A,MAIT cells,15,210
TENT5A_Memory B cells,TENT5A,Memory B cells,1,210
TENT5A_NK cells,TENT5A,NK cells,16,210
TENT5A_Naive B cells,TENT5A,Naive B cells,0,210
TENT5A_Non-classical monocytes,TENT5A,Non-classical monocytes,6,210
TENT5A_Plasma cells,TENT5A,Plasma cells,4,210
TENT5A_Plasmablasts,TENT5A,Plasmablasts,3,210
TENT5A_Regulatory T cells,TENT5A,Regulatory T cells,11,210
TENT5A_Tcm/Naive cytotoxic T cells,TENT5A,Tcm/Naive cytotoxic T cells,13,210
TENT5A_Tcm/Naive helper T cells,TENT5A,Tcm/Naive helper T cells,9,210
TENT5A_Tem/Effector helper T cells,TENT5A,Tem/Effector helper T cells,10,210
TENT5A_Tem/Temra cytotoxic T cells,TENT5A,Tem/Temra cytotoxic T cells,12,210
TENT5A_Tem/Trm cytotoxic T cells,TENT5A,Tem/Trm cytotoxic T cells,14,210
TENT5A_pDC,TENT5A,pDC,8,210
TENT5B_Age-associated B cells,TENT5B,Age-associated B cells,2,264
TENT5B_CD16+ NK cells,TENT5B,CD16+ NK cells,18,264
TENT5B_CD16- NK cells,TENT5B,CD16- NK cells,17,264
TENT5B_Classical monocytes,TENT5B,Classical monocytes,5,264
TENT5B_DC2,TENT5B,DC2,7,264
TENT5B_MAIT cells,TENT5B,MAIT cells,15,264
TENT5B_Memory B cells,TENT5B,Memory B cells,1,264
TENT5B_NK cells,TENT5B,NK cells,16,264
TENT5B_Naive B cells,TENT5B,Naive B cells,0,264
TENT5B_Non-classical monocytes,TENT5B,Non-classical monocytes,6,264
TENT5B_Plasma cells,TENT5B,Plasma cells,4,264
TENT5B_Plasmablasts,TENT5B,Plasmablasts,3,264
TENT5B_Regulatory T cells,TENT5B,Regulatory T cells,11,264
TENT5B_Tcm/Naive cytotoxic T cells,TENT5B,Tcm/Naive cytotoxic T cells,13,264
TENT5B_Tcm/Naive helper T cells,TENT5B,Tcm/Naive helper T cells,9,264
TENT5B_Tem/Effector helper T cells,TENT5B,Tem/Effector helper T cells,10,264
TENT5B_Tem/Temra cytotoxic T cells,TENT5B,Tem/Temra cytotoxic T cells,12,264
TENT5B_Tem/Trm cytotoxic T cells,TENT5B,Tem/Trm cytotoxic T cells,14,264
TENT5B_pDC,TENT5B,pDC,8,264
TGFB2_Age-associated B cells,TGFB2,Age-associated B cells,2,118
TGFB2_CD16+ NK cells,TGFB2,CD16+ NK cells,18,118
TGFB2_CD16- NK cells,TGFB2,CD16- NK cells,17,118
TGFB2_Classical monocytes,TGFB2,Classical monocytes,5,118
TGFB2_DC2,TGFB2,DC2,7,118
TGFB2_MAIT cells,TGFB2,MAIT cells,15,118
TGFB2_Memory B cells,TGFB2,Memory B cells,1,118
TGFB2_NK cells,TGFB2,NK cells,16,118
TGFB2_Naive B cells,TGFB2,Naive B cells,0,118
TGFB2_Non-classical monocytes,TGFB2,Non-classical monocytes,6,118
TGFB2_Plasma cells,TGFB2,Plasma cells,4,118
TGFB2_Plasmablasts,TGFB2,Plasmablasts,3,118
TGFB2_Regulatory T cells,TGFB2,Regulatory T cells,11,118
TGFB2_Tcm/Naive cytotoxic T cells,TGFB2,Tcm/Naive cytotoxic T cells,13,118
TGFB2_Tcm/Naive helper T cells,TGFB2,Tcm/Naive helper T cells,9,118
TGFB2_Tem/Effector helper T cells,TGFB2,Tem/Effector helper T cells,10,118
TGFB2_Tem/Temra cytotoxic T cells,TGFB2,Tem/Temra cytotoxic T cells,12,118
TGFB2_Tem/Trm cytotoxic T cells,TGFB2,Tem/Trm cytotoxic T cells,14,118
TGFB2_pDC,TGFB2,pDC,8,118
TGFBI_Age-associated B cells,TGFBI,Age-associated B cells,2,128
TGFBI_CD16+ NK cells,TGFBI,CD16+ NK cells,18,128
TGFBI_CD16- NK cells,TGFBI,CD16- NK cells,17,128
TGFBI_Classical monocytes,TGFBI,Classical monocytes,5,128
TGFBI_DC2,TGFBI,DC2,7,128
TGFBI_MAIT cells,TGFBI,MAIT cells,15,128
TGFBI_Memory B cells,TGFBI,Memory B cells,1,128
TGFBI_NK cells,TGFBI,NK cells,16,128
TGFBI_Naive B cells,TGFBI,Naive B cells,0,128
TGFBI_Non-classical monocytes,TGFBI,Non-classical monocytes,6,128
TGFBI_Plasma cells,TGFBI,Plasma cells,4,128
TGFBI_Plasmablasts,TGFBI,Plasmablasts,3,128
TGFBI_Regulatory T cells,TGFBI,Regulatory T cells,11,128
TGFBI_Tcm/Naive cytotoxic T cells,TGFBI,Tcm/Naive cytotoxic T cells,13,128
TGFBI_Tcm/Naive helper T cells,TGFBI,Tcm/Naive helper T cells,9,128
TGFBI_Tem/Effector helper T cells,TGFBI,Tem/Effector helper T cells,10,128
TGFBI_Tem/Temra cytotoxic T cells,TGFBI,Tem/Temra cytotoxic T cells,12,128
TGFBI_Tem/Trm cytotoxic T cells,TGFBI,Tem/Trm cytotoxic T cells,14,128
TGFBI_pDC,TGFBI,pDC,8,128
THUMPD2_Age-associated B cells,THUMPD2,Age-associated B cells,2,49
THUMPD2_CD16+ NK cells,THUMPD2,CD16+ NK cells,18,49
THUMPD2_CD16- NK cells,THUMPD2,CD16- NK cells,17,49
THUMPD2_Classical monocytes,THUMPD2,Classical monocytes,5,49
THUMPD2_DC2,THUMPD2,DC2,7,49
THUMPD2_MAIT cells,THUMPD2,MAIT cells,15,49
THUMPD2_Memory B cells,THUMPD2,Memory B cells,1,49
THUMPD2_NK cells,THUMPD2,NK cells,16,49
THUMPD2_Naive B cells,THUMPD2,Naive B cells,0,49
THUMPD2_Non-classical monocytes,THUMPD2,Non-classical monocytes,6,49
THUMPD2_Plasma cells,THUMPD2,Plasma cells,4,49
THUMPD2_Plasmablasts,THUMPD2,Plasmablasts,3,49
THUMPD2_Regulatory T cells,THUMPD2,Regulatory T cells,11,49
THUMPD2_Tcm/Naive cytotoxic T cells,THUMPD2,Tcm/Naive cytotoxic T cells,13,49
THUMPD2_Tcm/Naive helper T cells,THUMPD2,Tcm/Naive helper T cells,9,49
THUMPD2_Tem/Effector helper T cells,THUMPD2,Tem/Effector helper T cells,10,49
THUMPD2_Tem/Temra cytotoxic T cells,THUMPD2,Tem/Temra cytotoxic T cells,12,49
THUMPD2_Tem/Trm cytotoxic T cells,THUMPD2,Tem/Trm cytotoxic T cells,14,49
THUMPD2_pDC,THUMPD2,pDC,8,49
TM4SF18_Age-associated B cells,TM4SF18,Age-associated B cells,2,278
TM4SF18_CD16+ NK cells,TM4SF18,CD16+ NK cells,18,278
TM4SF18_CD16- NK cells,TM4SF18,CD16- NK cells,17,278
TM4SF18_Classical monocytes,TM4SF18,Classical monocytes,5,278
TM4SF18_DC2,TM4SF18,DC2,7,278
TM4SF18_MAIT cells,TM4SF18,MAIT cells,15,278
TM4SF18_Memory B cells,TM4SF18,Memory B cells,1,278
TM4SF18_NK cells,TM4SF18,NK cells,16,278
TM4SF18_Naive B cells,TM4SF18,Naive B cells,0,278
TM4SF18_Non-classical monocytes,TM4SF18,Non-classical monocytes,6,278
TM4SF18_Plasma cells,TM4SF18,Plasma cells,4,278
TM4SF18_Plasmablasts,TM4SF18,Plasmablasts,3,278
TM4SF18_Regulatory T cells,TM4SF18,Regulatory T cells,11,278
TM4SF18_Tcm/Naive cytotoxic T cells,TM4SF18,Tcm/Naive cytotoxic T cells,13,278
TM4SF18_Tcm/Naive helper T cells,TM4SF18,Tcm/Naive helper T cells,9,278
TM4SF18_Tem/Effector helper T cells,TM4SF18,Tem/Effector helper T cells,10,278
TM4SF18_Tem/Temra cytotoxic T cells,TM4SF18,Tem/Temra cytotoxic T cells,12,278
TM4SF18_Tem/Trm cytotoxic T cells,TM4SF18,Tem/Trm cytotoxic T cells,14,278
TM4SF18_pDC,TM4SF18,pDC,8,278
TMEM116_Age-associated B cells,TMEM116,Age-associated B cells,2,248
TMEM116_CD16+ NK cells,TMEM116,CD16+ NK cells,18,248
TMEM116_CD16- NK cells,TMEM116,CD16- NK cells,17,248
TMEM116_Classical monocytes,TMEM116,Classical monocytes,5,248
TMEM116_DC2,TMEM116,DC2,7,248
TMEM116_MAIT cells,TMEM116,MAIT cells,15,248
TMEM116_Memory B cells,TMEM116,Memory B cells,1,248
TMEM116_NK cells,TMEM116,NK cells,16,248
TMEM116_Naive B cells,TMEM116,Naive B cells,0,248
TMEM116_Non-classical monocytes,TMEM116,Non-classical monocytes,6,248
TMEM116_Plasma cells,TMEM116,Plasma cells,4,248
TMEM116_Plasmablasts,TMEM116,Plasmablasts,3,248
TMEM116_Regulatory T cells,TMEM116,Regulatory T cells,11,248
TMEM116_Tcm/Naive cytotoxic T cells,TMEM116,Tcm/Naive cytotoxic T cells,13,248
TMEM116_Tcm/Naive helper T cells,TMEM116,Tcm/Naive helper T cells,9,248
TMEM116_Tem/Effector helper T cells,TMEM116,Tem/Effector helper T cells,10,248
TMEM116_Tem/Temra cytotoxic T cells,TMEM116,Tem/Temra cytotoxic T cells,12,248
TMEM116_Tem/Trm cytotoxic T cells,TMEM116,Tem/Trm cytotoxic T cells,14,248
TMEM116_pDC,TMEM116,pDC,8,248
TMEM130_Age-associated B cells,TMEM130,Age-associated B cells,2,102
TMEM130_CD16+ NK cells,TMEM130,CD16+ NK cells,18,102
TMEM130_CD16- NK cells,TMEM130,CD16- NK cells,17,102
TMEM130_Classical monocytes,TMEM130,Classical monocytes,5,102
TMEM130_DC2,TMEM130,DC2,7,102
TMEM130_MAIT cells,TMEM130,MAIT cells,15,102
TMEM130_Memory B cells,TMEM130,Memory B cells,1,102
TMEM130_NK cells,TMEM130,NK cells,16,102
TMEM130_Naive B cells,TMEM130,Naive B cells,0,102
TMEM130_Non-classical monocytes,TMEM130,Non-classical monocytes,6,102
TMEM130_Plasma cells,TMEM130,Plasma cells,4,102
TMEM130_Plasmablasts,TMEM130,Plasmablasts,3,102
TMEM130_Regulatory T cells,TMEM130,Regulatory T cells,11,102
TMEM130_Tcm/Naive cytotoxic T cells,TMEM130,Tcm/Naive cytotoxic T cells,13,102
TMEM130_Tcm/Naive helper T cells,TMEM130,Tcm/Naive helper T cells,9,102
TMEM130_Tem/Effector helper T cells,TMEM130,Tem/Effector helper T cells,10,102
TMEM130_Tem/Temra cytotoxic T cells,TMEM130,Tem/Temra cytotoxic T cells,12,102
TMEM130_Tem/Trm cytotoxic T cells,TMEM130,Tem/Trm cytotoxic T cells,14,102
TMEM130_pDC,TMEM130,pDC,8,102
TMEM140_Age-associated B cells,TMEM140,Age-associated B cells,2,0
TMEM140_CD16+ NK cells,TMEM140,CD16+ NK cells,18,0
TMEM140_CD16- NK cells,TMEM140,CD16- NK cells,17,0
TMEM140_Classical monocytes,TMEM140,Classical monocytes,5,0
TMEM140_DC2,TMEM140,DC2,7,0
TMEM140_MAIT cells,TMEM140,MAIT cells,15,0
TMEM140_Memory B cells,TMEM140,Memory B cells,1,0
TMEM140_NK cells,TMEM140,NK cells,16,0
TMEM140_Naive B cells,TMEM140,Naive B cells,0,0
TMEM140_Non-classical monocytes,TMEM140,Non-classical monocytes,6,0
TMEM140_Plasma cells,TMEM140,Plasma cells,4,0
TMEM140_Plasmablasts,TMEM140,Plasmablasts,3,0
TMEM140_Regulatory T cells,TMEM140,Regulatory T cells,11,0
TMEM140_Tcm/Naive cytotoxic T cells,TMEM140,Tcm/Naive cytotoxic T cells,13,0
TMEM140_Tcm/Naive helper T cells,TMEM140,Tcm/Naive helper T cells,9,0
TMEM140_Tem/Effector helper T cells,TMEM140,Tem/Effector helper T cells,10,0
TMEM140_Tem/Temra cytotoxic T cells,TMEM140,Tem/Temra cytotoxic T cells,12,0
TMEM140_Tem/Trm cytotoxic T cells,TMEM140,Tem/Trm cytotoxic T cells,14,0
TMEM140_pDC,TMEM140,pDC,8,0
TMEM161B_Age-associated B cells,TMEM161B,Age-associated B cells,2,255
TMEM161B_CD16+ NK cells,TMEM161B,CD16+ NK cells,18,255
TMEM161B_CD16- NK cells,TMEM161B,CD16- NK cells,17,255
TMEM161B_Classical monocytes,TMEM161B,Classical monocytes,5,255
TMEM161B_DC2,TMEM161B,DC2,7,255
TMEM161B_MAIT cells,TMEM161B,MAIT cells,15,255
TMEM161B_Memory B cells,TMEM161B,Memory B cells,1,255
TMEM161B_NK cells,TMEM161B,NK cells,16,255
TMEM161B_Naive B cells,TMEM161B,Naive B cells,0,255
TMEM161B_Non-classical monocytes,TMEM161B,Non-classical monocytes,6,255
TMEM161B_Plasma cells,TMEM161B,Plasma cells,4,255
TMEM161B_Plasmablasts,TMEM161B,Plasmablasts,3,255
TMEM161B_Regulatory T cells,TMEM161B,Regulatory T cells,11,255
TMEM161B_Tcm/Naive cytotoxic T cells,TMEM161B,Tcm/Naive cytotoxic T cells,13,255
TMEM161B_Tcm/Naive helper T cells,TMEM161B,Tcm/Naive helper T cells,9,255
TMEM161B_Tem/Effector helper T cells,TMEM161B,Tem/Effector helper T cells,10,255
TMEM161B_Tem/Temra cytotoxic T cells,TMEM161B,Tem/Temra cytotoxic T cells,12,255
TMEM161B_Tem/Trm cytotoxic T cells,TMEM161B,Tem/Trm cytotoxic T cells,14,255
TMEM161B_pDC,TMEM161B,pDC,8,255
TMEM179_Age-associated B cells,TMEM179,Age-associated B cells,2,101
TMEM179_CD16+ NK cells,TMEM179,CD16+ NK cells,18,101
TMEM179_CD16- NK cells,TMEM179,CD16- NK cells,17,101
TMEM179_Classical monocytes,TMEM179,Classical monocytes,5,101
TMEM179_DC2,TMEM179,DC2,7,101
TMEM179_MAIT cells,TMEM179,MAIT cells,15,101
TMEM179_Memory B cells,TMEM179,Memory B cells,1,101
TMEM179_NK cells,TMEM179,NK cells,16,101
TMEM179_Naive B cells,TMEM179,Naive B cells,0,101
TMEM179_Non-classical monocytes,TMEM179,Non-classical monocytes,6,101
TMEM179_Plasma cells,TMEM179,Plasma cells,4,101
TMEM179_Plasmablasts,TMEM179,Plasmablasts,3,101
TMEM179_Regulatory T cells,TMEM179,Regulatory T cells,11,101
TMEM179_Tcm/Naive cytotoxic T cells,TMEM179,Tcm/Naive cytotoxic T cells,13,101
TMEM179_Tcm/Naive helper T cells,TMEM179,Tcm/Naive helper T cells,9,101
TMEM179_Tem/Effector helper T cells,TMEM179,Tem/Effector helper T cells,10,101
TMEM179_Tem/Temra cytotoxic T cells,TMEM179,Tem/Temra cytotoxic T cells,12,101
TMEM179_Tem/Trm cytotoxic T cells,TMEM179,Tem/Trm cytotoxic T cells,14,101
TMEM179_pDC,TMEM179,pDC,8,101
TMEM185B_Age-associated B cells,TMEM185B,Age-associated B cells,2,265
TMEM185B_CD16+ NK cells,TMEM185B,CD16+ NK cells,18,265
TMEM185B_CD16- NK cells,TMEM185B,CD16- NK cells,17,265
TMEM185B_Classical monocytes,TMEM185B,Classical monocytes,5,265
TMEM185B_DC2,TMEM185B,DC2,7,265
TMEM185B_MAIT cells,TMEM185B,MAIT cells,15,265
TMEM185B_Memory B cells,TMEM185B,Memory B cells,1,265
TMEM185B_NK cells,TMEM185B,NK cells,16,265
TMEM185B_Naive B cells,TMEM185B,Naive B cells,0,265
TMEM185B_Non-classical monocytes,TMEM185B,Non-classical monocytes,6,265
TMEM185B_Plasma cells,TMEM185B,Plasma cells,4,265
TMEM185B_Plasmablasts,TMEM185B,Plasmablasts,3,265
TMEM185B_Regulatory T cells,TMEM185B,Regulatory T cells,11,265
TMEM185B_Tcm/Naive cytotoxic T cells,TMEM185B,Tcm/Naive cytotoxic T cells,13,265
TMEM185B_Tcm/Naive helper T cells,TMEM185B,Tcm/Naive helper T cells,9,265
TMEM185B_Tem/Effector helper T cells,TMEM185B,Tem/Effector helper T cells,10,265
TMEM185B_Tem/Temra cytotoxic T cells,TMEM185B,Tem/Temra cytotoxic T cells,12,265
TMEM185B_Tem/Trm cytotoxic T cells,TMEM185B,Tem/Trm cytotoxic T cells,14,265
TMEM185B_pDC,TMEM185B,pDC,8,265
TMEM186_Age-associated B cells,TMEM186,Age-associated B cells,2,95
TMEM186_CD16+ NK cells,TMEM186,CD16+ NK cells,18,95
TMEM186_CD16- NK cells,TMEM186,CD16- NK cells,17,95
TMEM186_Classical monocytes,TMEM186,Classical monocytes,5,95
TMEM186_DC2,TMEM186,DC2,7,95
TMEM186_MAIT cells,TMEM186,MAIT cells,15,95
TMEM186_Memory B cells,TMEM186,Memory B cells,1,95
TMEM186_NK cells,TMEM186,NK cells,16,95
TMEM186_Naive B cells,TMEM186,Naive B cells,0,95
TMEM186_Non-classical monocytes,TMEM186,Non-classical monocytes,6,95
TMEM186_Plasma cells,TMEM186,Plasma cells,4,95
TMEM186_Plasmablasts,TMEM186,Plasmablasts,3,95
TMEM186_Regulatory T cells,TMEM186,Regulatory T cells,11,95
TMEM186_Tcm/Naive cytotoxic T cells,TMEM186,Tcm/Naive cytotoxic T cells,13,95
TMEM186_Tcm/Naive helper T cells,TMEM186,Tcm/Naive helper T cells,9,95
TMEM186_Tem/Effector helper T cells,TMEM186,Tem/Effector helper T cells,10,95
TMEM186_Tem/Temra cytotoxic T cells,TMEM186,Tem/Temra cytotoxic T cells,12,95
TMEM186_Tem/Trm cytotoxic T cells,TMEM186,Tem/Trm cytotoxic T cells,14,95
TMEM186_pDC,TMEM186,pDC,8,95
TMEM190_Age-associated B cells,TMEM190,Age-associated B cells,2,176
TMEM190_CD16+ NK cells,TMEM190,CD16+ NK cells,18,176
TMEM190_CD16- NK cells,TMEM190,CD16- NK cells,17,176
TMEM190_Classical monocytes,TMEM190,Classical monocytes,5,176
TMEM190_DC2,TMEM190,DC2,7,176
TMEM190_MAIT cells,TMEM190,MAIT cells,15,176
TMEM190_Memory B cells,TMEM190,Memory B cells,1,176
TMEM190_NK cells,TMEM190,NK cells,16,176
TMEM190_Naive B cells,TMEM190,Naive B cells,0,176
TMEM190_Non-classical monocytes,TMEM190,Non-classical monocytes,6,176
TMEM190_Plasma cells,TMEM190,Plasma cells,4,176
TMEM190_Plasmablasts,TMEM190,Plasmablasts,3,176
TMEM190_Regulatory T cells,TMEM190,Regulatory T cells,11,176
TMEM190_Tcm/Naive cytotoxic T cells,TMEM190,Tcm/Naive cytotoxic T cells,13,176
TMEM190_Tcm/Naive helper T cells,TMEM190,Tcm/Naive helper T cells,9,176
TMEM190_Tem/Effector helper T cells,TMEM190,Tem/Effector helper T cells,10,176
TMEM190_Tem/Temra cytotoxic T cells,TMEM190,Tem/Temra cytotoxic T cells,12,176
TMEM190_Tem/Trm cytotoxic T cells,TMEM190,Tem/Trm cytotoxic T cells,14,176
TMEM190_pDC,TMEM190,pDC,8,176
TMEM260_Age-associated B cells,TMEM260,Age-associated B cells,2,24
TMEM260_CD16+ NK cells,TMEM260,CD16+ NK cells,18,24
TMEM260_CD16- NK cells,TMEM260,CD16- NK cells,17,24
TMEM260_Classical monocytes,TMEM260,Classical monocytes,5,24
TMEM260_DC2,TMEM260,DC2,7,24
TMEM260_MAIT cells,TMEM260,MAIT cells,15,24
TMEM260_Memory B cells,TMEM260,Memory B cells,1,24
TMEM260_NK cells,TMEM260,NK cells,16,24
TMEM260_Naive B cells,TMEM260,Naive B cells,0,24
TMEM260_Non-classical monocytes,TMEM260,Non-classical monocytes,6,24
TMEM260_Plasma cells,TMEM260,Plasma cells,4,24
TMEM260_Plasmablasts,TMEM260,Plasmablasts,3,24
TMEM260_Regulatory T cells,TMEM260,Regulatory T cells,11,24
TMEM260_Tcm/Naive cytotoxic T cells,TMEM260,Tcm/Naive cytotoxic T cells,13,24
TMEM260_Tcm/Naive helper T cells,TMEM260,Tcm/Naive helper T cells,9,24
TMEM260_Tem/Effector helper T cells,TMEM260,Tem/Effector helper T cells,10,24
TMEM260_Tem/Temra cytotoxic T cells,TMEM260,Tem/Temra cytotoxic T cells,12,24
TMEM260_Tem/Trm cytotoxic T cells,TMEM260,Tem/Trm cytotoxic T cells,14,24
TMEM260_pDC,TMEM260,pDC,8,24
TMEM98_Age-associated B cells,TMEM98,Age-associated B cells,2,27
TMEM98_CD16+ NK cells,TMEM98,CD16+ NK cells,18,27
TMEM98_CD16- NK cells,TMEM98,CD16- NK cells,17,27
TMEM98_Classical monocytes,TMEM98,Classical monocytes,5,27
TMEM98_DC2,TMEM98,DC2,7,27
TMEM98_MAIT cells,TMEM98,MAIT cells,15,27
TMEM98_Memory B cells,TMEM98,Memory B cells,1,27
TMEM98_NK cells,TMEM98,NK cells,16,27
TMEM98_Naive B cells,TMEM98,Naive B cells,0,27
